video,caption,row_id,revised_caption,action_score,status,assigned_to,assigned_at,build_up,peak_start,peak_end,drop_off,peaks
downloaded_clips/Yk3pQ18So90_4016.mp4,The ladies finish and stand and raise their hands and clap in triumph.,4016,The moment when the ladies raise their hands and clap in triumph.,6.37766330242157,bad_quality,,,-1.0,-1.0,-1.0,-1.0,[]
downloaded_clips/8Yfm6gbKRho_20462.mp4,The cricket player hits a high pop fly that is caught.,20462,The moment when the guy throws the ball.,6.375132322311401,completed,,,5.562617,7.562727,7.696984,10.985605,"[{""build_up"": 5.562617, ""peak_start"": 7.562727, ""peak_end"": 7.696984, ""drop_off"": 10.985605, ""caption"": ""The moment when the guy throws the ball.""}]"
downloaded_clips/73LjSLUZGZc_5356.mp4,Someone drives a forklift into bowling pins on the ground.,5356,The moment when the ball hits the bowling pins.,6.374922037124634,completed,,,6.041855,8.150809,8.720179,13.705705,"[{""build_up"": 6.041855, ""peak_start"": 8.150809, ""peak_end"": 8.720179, ""drop_off"": 13.705705, ""caption"": ""The moment when the ball hits the bowling pins.""}]"
downloaded_clips/L5nqeFWufrE_750.mp4,Another historic diving event is shown where the diver accidentally hurts his head on the diving board while diving into the pool.,750,The moment when the diver hits his head on the diving board.,6.364060878753662,bad_quality,,,-1.0,-1.0,-1.0,-1.0,[]
downloaded_clips/rulzKikXMHo_13498.mp4,"The man releases the metal ball, and it hits the male.",13498,The moment when guy punches the other guy.,6.34389066696167,completed,,,4.257128,7.219935,7.278633,9.609471,"[{""build_up"": 4.257128, ""peak_start"": 7.219935, ""peak_end"": 7.278633, ""drop_off"": 9.609471, ""caption"": ""The moment when guy punches the other guy.""}]"
downloaded_clips/CaQkeVwKiUs_5626.mp4,The black man takes the head and puts his fingers into the nostrils of the head and rolls the head down the head between his legs where it rolls on to hit the last two standing pins.,5626,The moment when the head hits the last two standing pins.,6.333583831787109,completed,,,11.125854,16.206138,16.613344,18.494866,"[{""build_up"": 11.125854, ""peak_start"": 16.206138, ""peak_end"": 16.613344, ""drop_off"": 18.494866, ""caption"": ""The moment when the head hits the last two standing pins.""}]"
downloaded_clips/mtQUYdj2Ecg_11679.mp4,"He hits himself in the throat, falling backward.",11679,The moment when he hits himself in the throat.,6.320694923400879,completed,,,0.0,1.150586,1.692629,8.193607,"[{""build_up"": 0.0, ""peak_start"": 1.150586, ""peak_end"": 1.692629, ""drop_off"": 8.193607, ""caption"": ""The moment when he hits himself in the throat.""}]"
downloaded_clips/_BJqPK0NNZU_19761.mp4,The metal hit the field.,19761,The moment when the metal hits the field.,6.316156625747681,bad_quality,,,-1.0,-1.0,-1.0,-1.0,[]
downloaded_clips/EL47wkhiOq8_38263.mp4,The young boy serve the shuttlecock but it hit the net.,38263,The moment when the shuttlecock hits the net.,6.316041469573975,completed,,,0.06325,2.148801,2.336133,7.856167,"[{""build_up"": 0.06325, ""peak_start"": 2.148801, ""peak_end"": 2.336133, ""drop_off"": 7.856167, ""caption"": ""The moment when the shuttlecock hits the net.""}]"
downloaded_clips/ZNsX4KYJlVQ_35993.mp4,He hits the top of the wall and he goes over to reach for it and take it out.,35993,The moment when he touches the top of the wall.,6.3159019947052,completed,,,5.820573,9.76889,10.533333,10.533333,"[{""build_up"": 5.820573, ""peak_start"": 9.76889, ""peak_end"": 10.533333, ""drop_off"": 10.533333, ""caption"": ""The moment when he touches the top of the wall.""}]"
